Name,Ingredients,Healing,Buffs,Duration,Sources,Sell
Fried Egg,Egg(1),"50 Energy, 22 Health",N/A,N/A,Upgraded farmhouse,35g
Omelet,"Egg(1), Milk(1)","100 Energy, 45 Health",N/A,N/A,"The Queen of Sauce


28 Spring, Year 1

 Stardrop Saloon for 100g",125g
Salad,"Leek(1), Dandelion(1), Vinegar(1)","113 Energy, 50 Health",N/A,N/A,Emily(Mail - 3 hearts),110g
Cheese Cauliflower,"Cauliflower(1), Cheese(1)","138 Energy, 62 Health",N/A,N/A,Pam(Mail - 3 hearts),300g
Baked Fish,"Sunfish(1), Bream(1), Wheat Flour(1)","75 Energy, 33 Health",N/A,N/A,"The Queen of Sauce


7 Summer, Year 1",100g
Parsnip Soup,"Parsnip(1), Milk(1), Vinegar(1)","85 Energy, 38 Health",N/A,N/A,Caroline(Mail - 3 hearts),120g
Vegetable Medley,"Tomato(1), Beet(1)","165 Energy, 74 Health",N/A,N/A,Caroline(Mail - 7 hearts),120g
Complete Breakfast,"Fried Egg(1), Milk(1), Hashbrowns(1), Pancakes(1)","200 Energy, 90 Health","Farming(+2), Max Energy(+50)",7m,"The Queen of Sauce


21 Spring, Year 2",350g
Fried Calamari,"Squid(1), Wheat Flour(1), Oil(1)","80 Energy, 36 Health",N/A,N/A,Jodi(Mail - 3 hearts),150g
Strange Bun,"Wheat Flour(1), Periwinkle(1), Void Mayonnaise(1)","100 Energy, 45 Health",N/A,N/A,Shane(Mail - 7 hearts),225g
Lucky Lunch,"Sea Cucumber(1), Tortilla(1), Blue Jazz(1)","100 Energy, 45 Health",Luck(+3),11m 11s,"The Queen of Sauce


28 Spring, Year 2",250g
Fried Mushroom,"Common Mushroom(1), Morel(1), Oil(1)","135 Energy, 60 Health",Attack(+2),7m,Demetrius(Mail - 3 hearts),200g
Pizza,"Wheat Flour(1), Tomato(1), Cheese(1)","150 Energy, 67 Health",N/A,N/A,"The Queen of Sauce


7 Spring, Year 2

 Stardrop Saloon for 150g",300g
Bean Hotpot,Green Bean(2),"125 Energy, 56 Health","Max Energy(+30), Magnetism(+32)",7m,Clint(Mail - 7 hearts),100g
Glazed Yams,"Yam(1), Sugar(1)","200 Energy, 90 Health",N/A,N/A,"The Queen of Sauce


21 Fall, Year 1",200g
Carp Surprise,Carp(4),"90 Energy, 40 Health",N/A,N/A,"The Queen of Sauce


7 Summer, Year 2",150g
Hashbrowns,"Potato(1), Oil(1)","90 Energy, 40 Health",Farming(+1),5m 35s,"The Queen of Sauce


14 Spring, Year 2

 Stardrop Saloon for 50g",120g
Pancakes,"Wheat Flour(1), Egg(1)","90 Energy, 40 Health",Foraging(+2),11m 11s,"The Queen of Sauce


14 Summer, Year 1

 Stardrop Saloon for 100g",80g
Salmon Dinner,"Salmon(1), Amaranth(1), Kale(1)","125 Energy, 56 Health",N/A,N/A,Gus(Mail - 3 hearts),300g
Fish Taco,"Tuna(1), Tortilla(1), Red Cabbage(1), Mayonnaise(1)","165 Energy, 74 Health",Fishing(+2),7m,Linus(Mail - 7 hearts),500g
Crispy Bass,"Largemouth Bass(1), Wheat Flour(1), Oil(1)","90 Energy, 40 Health",Magnetism(+64),7m,Kent(Mail - 3 hearts),150g
Pepper Poppers,"Hot Pepper(1), Cheese(1)","130 Energy, 58 Health","Farming(+2), Speed(+1)",7m,Shane(Mail - 3 hearts),200g
Bread,Wheat Flour(1),"50 Energy, 22 Health",N/A,N/A,"The Queen of Sauce


28 Summer, Year 1

 Stardrop Saloon for 100g",60g
Tom Kha Soup,"Coconut(1), Shrimp(1), Common Mushroom(1)","175 Energy, 78 Health","Farming(+2), Max Energy(+30)",7m,Sandy(Mail - 7 hearts),250g
